,Open,High,Low,Close,Adj Close,Volume,Date,Company
0,30.02,30.02,28.6,29.040001,29.040001,199200.0,2021-07-06,AOSL
1,29.450001,29.75,28.57,29.15,29.15,308400.0,2021-07-07,AOSL
2,28.4,28.83,26.889999,28.24,28.24,248500.0,2021-07-08,AOSL
3,28.629999,29.35,28.26,29.139999,29.139999,145400.0,2021-07-09,AOSL
4,29.209999,29.27,28.51,29.24,29.24,129100.0,2021-07-12,AOSL
5,29.0,29.030001,27.85,28.280001,28.280001,207600.0,2021-07-13,AOSL
6,28.629999,29.059999,27.709999,27.76,27.76,147100.0,2021-07-14,AOSL
7,27.469999,27.540001,26.4,26.85,26.85,228100.0,2021-07-15,AOSL
8,27.110001,27.290001,25.26,25.4,25.4,180000.0,2021-07-16,AOSL
9,24.82,25.6,24.01,24.959999,24.959999,226100.0,2021-07-19,AOSL
10,25.01,26.02,24.469999,25.559999,25.559999,240300.0,2021-07-20,AOSL
11,25.68,26.73,25.620001,26.66,26.66,133200.0,2021-07-21,AOSL
12,26.299999,26.43,25.09,25.48,25.48,214600.0,2021-07-22,AOSL
13,25.76,25.76,24.92,25.309999,25.309999,140200.0,2021-07-23,AOSL
14,25.25,25.790001,24.48,24.82,24.82,239200.0,2021-07-26,AOSL
15,24.709999,24.91,23.66,24.4,24.4,213400.0,2021-07-27,AOSL
16,24.6,25.620001,24.42,25.26,25.26,122800.0,2021-07-28,AOSL
17,25.51,25.98,25.27,25.67,25.67,187900.0,2021-07-29,AOSL
18,25.5,26.24,25.059999,25.99,25.99,135000.0,2021-07-30,AOSL
19,26.67,26.870001,25.92,26.0,26.0,218700.0,2021-08-02,AOSL
20,26.129999,26.530001,25.110001,26.02,26.02,252700.0,2021-08-03,AOSL
21,25.85,26.309999,25.5,25.6,25.6,155200.0,2021-08-04,AOSL
22,25.6,26.459999,25.43,25.83,25.83,176300.0,2021-08-05,AOSL
23,25.75,26.549999,25.75,26.52,26.52,143000.0,2021-08-06,AOSL
24,26.690001,26.99,26.1,26.790001,26.790001,233200.0,2021-08-09,AOSL
25,26.75,27.040001,25.91,27.0,27.0,182000.0,2021-08-10,AOSL
26,27.08,27.450001,25.85,27.23,27.23,295000.0,2021-08-11,AOSL
27,28.99,30.190001,26.110001,27.299999,27.299999,695100.0,2021-08-12,AOSL
28,27.41,27.41,26.51,26.91,26.91,169000.0,2021-08-13,AOSL
29,26.67,26.67,25.549999,25.799999,25.799999,259800.0,2021-08-16,AOSL
30,25.360001,25.549999,24.32,25.18,25.18,314300.0,2021-08-17,AOSL
31,25.200001,26.059999,24.889999,25.209999,25.209999,123100.0,2021-08-18,AOSL
32,24.98,25.459999,24.700001,25.15,25.15,241800.0,2021-08-19,AOSL
33,25.09,25.83,25.09,25.82,25.82,223700.0,2021-08-20,AOSL
34,26.18,26.639999,25.610001,26.469999,26.469999,207200.0,2021-08-23,AOSL
35,26.57,27.15,26.280001,26.9,26.9,150500.0,2021-08-24,AOSL
36,26.950001,27.379999,26.84,27.120001,27.120001,110100.0,2021-08-25,AOSL
37,27.15,27.5,27.0,27.370001,27.370001,135200.0,2021-08-26,AOSL
38,27.4,29.040001,27.4,28.969999,28.969999,290800.0,2021-08-27,AOSL
39,29.299999,29.43,28.23,28.889999,28.889999,182200.0,2021-08-30,AOSL
40,28.98,29.889999,28.23,29.049999,29.049999,436700.0,2021-08-31,AOSL
41,29.4,29.4,28.549999,28.860001,28.860001,153900.0,2021-09-01,AOSL
42,28.9,29.25,28.690001,28.870001,28.870001,125300.0,2021-09-02,AOSL
43,28.809999,29.200001,28.5,28.92,28.92,152900.0,2021-09-03,AOSL
