,Open,High,Low,Close,Adj Close,Volume,Date,Company
0,64.050003,64.050003,61.799999,62.860001,61.525616,787600.0,2021-07-06,BIG
1,62.619999,62.98,60.84,61.709999,60.400024,430300.0,2021-07-07,BIG
2,60.650002,61.439999,59.549999,61.43,60.125969,478300.0,2021-07-08,BIG
3,62.529999,64.059998,61.93,63.970001,62.612049,543200.0,2021-07-09,BIG
4,62.830002,63.099998,60.799999,61.389999,60.086819,751700.0,2021-07-12,BIG
5,61.259998,61.529999,60.029999,61.099998,59.802975,749800.0,2021-07-13,BIG
6,61.549999,61.84,59.43,60.029999,58.755688,771500.0,2021-07-14,BIG
7,59.5,60.209999,59.110001,59.970001,58.69696,610900.0,2021-07-15,BIG
8,60.5,60.5,58.619999,58.66,57.414772,733900.0,2021-07-16,BIG
9,57.5,58.709999,56.240002,58.580002,57.336472,913600.0,2021-07-19,BIG
10,58.5,61.07,58.5,60.630001,59.342953,520100.0,2021-07-20,BIG
11,61.27,62.799999,61.110001,62.32,60.997074,445500.0,2021-07-21,BIG
12,62.009998,62.459999,60.41,60.490002,59.205925,349700.0,2021-07-22,BIG
13,60.759998,61.169998,59.73,60.66,59.372314,488400.0,2021-07-23,BIG
14,60.689999,61.68,60.299999,61.439999,60.135754,378200.0,2021-07-26,BIG
15,60.77,61.34,59.419998,60.02,58.745899,328700.0,2021-07-27,BIG
16,60.220001,60.880001,59.360001,59.57,58.305454,368400.0,2021-07-28,BIG
17,60.0,60.669998,58.52,58.630001,57.385406,602800.0,2021-07-29,BIG
18,58.5,59.810001,57.540001,57.610001,56.387062,485600.0,2021-07-30,BIG
19,57.990002,57.990002,55.23,55.619999,54.439304,843600.0,2021-08-02,BIG
20,55.720001,58.299999,55.169998,56.880001,55.672558,688000.0,2021-08-03,BIG
21,56.259998,56.549999,54.009998,54.150002,53.000511,774300.0,2021-08-04,BIG
22,54.459999,55.810001,54.169998,55.07,53.900978,391600.0,2021-08-05,BIG
23,55.509998,55.75,53.990002,54.459999,53.303928,384000.0,2021-08-06,BIG
24,54.82,55.740002,53.91,54.290001,53.137539,613100.0,2021-08-09,BIG
25,54.099998,56.150002,53.34,56.110001,54.918903,644500.0,2021-08-10,BIG
26,56.34,58.91,55.650002,58.849998,57.600735,664500.0,2021-08-11,BIG
27,59.200001,60.240002,57.810001,58.200001,56.964535,459200.0,2021-08-12,BIG
28,58.049999,59.130001,57.619999,57.93,56.700268,325600.0,2021-08-13,BIG
29,57.970001,58.860001,57.439999,57.77,56.543663,266300.0,2021-08-16,BIG
30,57.330002,57.610001,55.57,56.0,54.811241,413500.0,2021-08-17,BIG
31,56.139999,56.900002,55.43,55.48,54.302277,419500.0,2021-08-18,BIG
32,55.0,56.040001,54.549999,54.669998,53.509468,383900.0,2021-08-19,BIG
33,54.669998,56.220001,54.669998,56.07,54.879749,477200.0,2021-08-20,BIG
34,55.73,57.0,55.52,56.75,55.545319,713800.0,2021-08-23,BIG
35,56.32,57.599998,56.18,57.439999,56.220669,669700.0,2021-08-24,BIG
36,57.700001,58.669998,57.040001,57.84,56.612179,525900.0,2021-08-25,BIG
37,56.349998,56.830002,54.200001,54.25,53.098385,1422900.0,2021-08-26,BIG
38,47.049999,53.310001,46.869999,51.619999,50.524216,4246700.0,2021-08-27,BIG
39,50.950001,52.189999,50.459999,51.25,50.162071,1357500.0,2021-08-30,BIG
40,51.279999,51.529999,48.169998,48.66,47.627052,2036700.0,2021-08-31,BIG
41,48.91,48.990002,48.0,48.459999,47.431293,880800.0,2021-09-01,BIG
42,48.18,48.689999,47.209999,47.799999,46.785305,848300.0,2021-09-02,BIG
43,47.75,47.990002,46.849998,47.799999,46.785305,740100.0,2021-09-03,BIG
44,47.380001,47.720001,45.98,46.02,45.043091,1164900.0,2021-09-07,BIG
45,46.32,46.32,44.950001,46.150002,45.170334,931300.0,2021-09-08,BIG
46,45.669998,47.029999,45.619999,46.709999,46.017582,682200.0,2021-09-09,BIG
47,46.990002,47.32,45.880001,45.98,45.298405,728100.0,2021-09-10,BIG
48,46.07,47.299999,45.810001,46.349998,45.662918,634900.0,2021-09-13,BIG
49,46.400002,46.400002,44.799999,45.43,44.756561,689400.0,2021-09-14,BIG
50,45.369999,47.560001,45.369999,47.290001,46.588985,1174000.0,2021-09-15,BIG
51,47.119999,48.25,46.900002,47.380001,46.677654,760500.0,2021-09-16,BIG
52,47.639999,48.18,47.5,47.68,46.973206,1364200.0,2021-09-17,BIG
53,46.5,47.610001,46.200001,47.52,46.815578,925700.0,2021-09-20,BIG
54,46.299999,46.950001,44.650002,44.700001,44.03738,1008700.0,2021-09-21,BIG
55,45.25,47.349998,45.009998,46.279999,45.593956,996700.0,2021-09-22,BIG
56,46.5,47.779999,46.450001,46.68,45.988029,864900.0,2021-09-23,BIG
57,46.630001,47.009998,46.200001,46.560001,45.869812,585200.0,2021-09-24,BIG
58,46.529999,49.849998,46.529999,49.540001,48.805634,1003700.0,2021-09-27,BIG
59,49.330002,50.099998,48.470001,48.52,47.800755,932000.0,2021-09-28,BIG
60,49.080002,49.419998,48.139999,48.380001,47.662827,484900.0,2021-09-29,BIG
61,47.689999,48.25,43.040001,43.360001,42.717243,1995000.0,2021-09-30,BIG
